Car_ID,Make,Model,Year,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,image_url,Status,Rent_Price,Security
20,Kia,Sorento,2016,240.0,4.0,AUTOMATIC,front wheel drive,Crossover,Midsize,4dr SUV,27,20,1720,https://source.unsplash.com/600x400/?Kia+Sorento+car,Available,1244.0,12440.0
21,Mazda,B-Series,2001,150.0,6.0,MANUAL,rear wheel drive,,Compact,Extended Cab Pickup,21,15,586,https://source.unsplash.com/600x400/?Mazda+B-Series+car,Available,701.8000000000001,7018.0
22,GMC,Vandura,1994,165.0,6.0,AUTOMATIC,rear wheel drive,,Compact,Cargo Van,20,15,549,https://source.unsplash.com/600x400/?GMC+Vandura+car,Available,80.0,800.0
23,Cadillac,ATS Coupe,2015,272.0,4.0,AUTOMATIC,rear wheel drive,"Luxury, Performance",Compact,Coupe,31,21,1624,https://source.unsplash.com/600x400/?Cadillac+ATS+Coupe+car,Available,1676.8,16768.0
24,Volkswagen,Jetta,2016,150.0,4.0,MANUAL,front wheel drive,,Midsize,Sedan,39,28,873,https://source.unsplash.com/600x400/?Volkswagen+Jetta+car,Available,707.2,7072.0
25,Chrysler,PT Cruiser,2008,150.0,4.0,MANUAL,front wheel drive,,Compact,Convertible,26,21,1013,https://source.unsplash.com/600x400/?Chrysler+PT+Cruiser+car,Available,737.2,7372.0
26,Honda,Civic,2016,174.0,4.0,AUTOMATIC,front wheel drive,,Compact,Coupe,41,31,2202,https://source.unsplash.com/600x400/?Honda+Civic+car,Available,937.0,9370.0
27,GMC,Envoy XL,2006,300.0,8.0,AUTOMATIC,rear wheel drive,,Large,4dr SUV,19,14,549,https://source.unsplash.com/600x400/?GMC+Envoy+XL+car,Available,1414.0,14140.0
28,Mazda,B-Series Pickup,1999,160.0,6.0,MANUAL,four wheel drive,,Compact,Extended Cab Pickup,19,15,586,https://source.unsplash.com/600x400/?Mazda+B-Series+Pickup+car,Available,147.84,1478.4
29,Lincoln,MKS,2014,304.0,6.0,AUTOMATIC,all wheel drive,"Luxury, Performance",Large,Sedan,26,18,61,https://source.unsplash.com/600x400/?Lincoln+MKS+car,Available,1633.8,16338.0
30,Volvo,C70,2011,227.0,5.0,AUTOMATIC,front wheel drive,Luxury,Compact,Convertible,28,19,870,https://source.unsplash.com/600x400/?Volvo+C70+car,Available,1598.0,15980.0
31,Ford,Transit Connect,2017,169.0,4.0,AUTOMATIC,front wheel drive,,Compact,Cargo Minivan,27,20,5657,https://source.unsplash.com/600x400/?Ford+Transit+Connect+car,Available,1017.0,10170.0
32,Cadillac,STS,2011,302.0,6.0,AUTOMATIC,rear wheel drive,"Luxury, Performance",Large,Sedan,27,18,1624,https://source.unsplash.com/600x400/?Cadillac+STS+car,Available,2255.2000000000003,22552.0
33,Chevrolet,Camaro,2017,275.0,4.0,MANUAL,rear wheel drive,Performance,Midsize,Coupe,30,20,1385,https://source.unsplash.com/600x400/?Chevrolet+Camaro+car,Available,1036.2,10362.0
34,BMW,Alpina,2003,375.0,8.0,AUTOMATIC,rear wheel drive,"Exotic, Factory Tuner, Luxury, High-Performance",Compact,Convertible,19,13,3916,https://source.unsplash.com/600x400/?BMW+Alpina+car,Available,5476.0,54760.0
35,Chevrolet,S-10,2003,190.0,6.0,MANUAL,four wheel drive,,Compact,Extended Cab Pickup,17,12,1385,https://source.unsplash.com/600x400/?Chevrolet+S-10+car,Available,810.8000000000001,8108.0
36,Hyundai,Azera,2015,293.0,6.0,AUTOMATIC,front wheel drive,Performance,Midsize,Sedan,29,20,1439,https://source.unsplash.com/600x400/?Hyundai+Azera+car,Available,1360.0,13600.0
37,Ford,F-150,2017,450.0,6.0,AUTOMATIC,four wheel drive,,Large,Extended Cab Pickup,18,15,5657,https://source.unsplash.com/600x400/?Ford+F-150+car,Available,1933.0,19330.0
38,Honda,Pilot,2016,280.0,6.0,AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,26,18,2202,https://source.unsplash.com/600x400/?Honda+Pilot+car,Available,1277.8,12778.0
39,Nissan,Leaf,2015,,0.0,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,101,126,2009,https://source.unsplash.com/600x400/?Nissan+Leaf+car,Available,1284.0,12840.0
40,Mercedes-Benz,E-Class,2016,195.0,4.0,AUTOMATIC,all wheel drive,"Diesel, Luxury",Midsize,Sedan,38,27,617,https://source.unsplash.com/600x400/?Mercedes-Benz+E-Class+car,Available,2206.0,22060.0
41,Aston Martin,Vanquish,2016,568.0,12.0,AUTOMATIC,rear wheel drive,"Exotic, High-Performance",Midsize,Coupe,21,13,259,https://source.unsplash.com/600x400/?Aston+Martin+Vanquish+car,Available,12107.800000000001,121078.0
42,Ford,F-150,2015,385.0,8.0,AUTOMATIC,four wheel drive,Flex Fuel,Large,Crew Cab Pickup,21,15,5657,https://source.unsplash.com/600x400/?Ford+F-150+car,Available,2200.4,22004.0
43,Mercedes-Benz,SLR McLaren,2008,617.0,8.0,AUTOMATIC,rear wheel drive,"Exotic, Factory Tuner, Luxury, High-Performance",Compact,Convertible,16,12,617,https://source.unsplash.com/600x400/?Mercedes-Benz+SLR+McLaren+car,Available,19800.0,198000.0
44,Lexus,SC 400,1998,290.0,8.0,AUTOMATIC,rear wheel drive,"Luxury, Performance",Midsize,Coupe,23,17,454,https://source.unsplash.com/600x400/?Lexus+SC+400+car,Available,137.68,1376.8000000000002
45,Dodge,Dakota,2010,210.0,6.0,AUTOMATIC,rear wheel drive,Flex Fuel,Compact,Extended Cab Pickup,20,15,1851,https://source.unsplash.com/600x400/?Dodge+Dakota+car,Available,945.2,9452.0
46,GMC,Sierra 1500,2016,355.0,8.0,AUTOMATIC,four wheel drive,,Large,Extended Cab Pickup,22,16,549,https://source.unsplash.com/600x400/?GMC+Sierra+1500+car,Available,1796.4,17964.0
47,Honda,CR-V,2015,185.0,4.0,AUTOMATIC,front wheel drive,Crossover,Compact,4dr SUV,34,27,2202,https://source.unsplash.com/600x400/?Honda+CR-V+car,Available,1021.8000000000001,10218.0
48,Dodge,Challenger,2017,305.0,6.0,AUTOMATIC,rear wheel drive,Performance,Large,Coupe,30,19,1851,https://source.unsplash.com/600x400/?Dodge+Challenger+car,Available,1199.8,11998.0
49,Mitsubishi,Outlander Sport,2017,148.0,4.0,AUTOMATIC,front wheel drive,Crossover,Compact,4dr SUV,30,24,436,https://source.unsplash.com/600x400/?Mitsubishi+Outlander+Sport+car,Available,839.8000000000001,8398.0
50,Nissan,Altima,2016,270.0,6.0,AUTOMATIC,front wheel drive,Performance,Midsize,Sedan,32,22,2009,https://source.unsplash.com/600x400/?Nissan+Altima+car,Available,1119.6000000000001,11196.0
